1445171925 timestamp;capacitance;temperature;light
1452592695 ;313;185;1945
1452592753 ;312;185;2077
1452592811 ;313;185;1949
1452592868 ;311;185;1570
1452592926 ;312;185;1557
1452592984 ;311;185;1829
1452593041 ;312;185;1930
1452593099 ;312;185;1913
1452593156 ;312;185;1836
1452593214 ;312;185;2143
1452593272 ;312;185;2042
1452593329 ;313;185;2395
1452593387 ;311;185;2734
1452593445 ;312;185;2203
1452593503 ;312;185;1959
1452593560 ;312;185;2172
1452593618 ;312;185;2256
1452593676 ;313;185;2531
1452593733 ;312;185;2348
1452593791 ;313;185;2212
1452593849 ;312;185;2426
1452593906 ;312;185;2792
1452593964 ;311;185;2699
1452594021 ;313;185;2965
1452594079 ;314;185;3139
1452594137 ;312;185;2966
1452594195 ;313;185;2765
1452594252 ;311;185;2477
1452594310 ;311;185;2125
1452594368 ;312;185;1940
1452594426 ;312;186;2074
1452594483 ;314;185;2036
1452594541 ;312;185;2113
1452594599 ;313;185;2092
1452594657 ;312;186;2309
1452594714 ;313;186;2205
1452594772 ;313;186;2101
1452594830 ;313;186;2050
1452594888 ;313;186;1626
1452594946 ;312;186;1636
1452595004 ;312;186;1645
1452595061 ;311;186;1755
1452595119 ;312;186;1633
1452595177 ;312;186;1753
1452595235 ;312;186;2294
1452595293 ;312;186;3045
1452595350 ;313;186;2428
1452595408 ;313;186;2734
1452595466 ;312;185;2461
1452595524 ;313;186;1822
1452595581 ;313;186;1866
1452595639 ;312;186;1569
1452595697 ;313;186;1599
1452595755 ;312;185;1714
1452595812 ;313;185;1790
1452595870 ;313;185;1638
1452595928 ;312;186;1444
1452595985 ;313;185;1300
1452596043 ;312;185;1379
1452596101 ;312;185;1493
1452596158 ;313;185;1476
1452596216 ;312;185;1419
1452596273 ;312;185;1396
1452596331 ;312;185;1424
1452596389 ;312;185;1458
1452596446 ;312;185;1545
1452596504 ;313;185;1582
1452596562 ;312;185;1559
1452596620 ;312;185;1553
1452596677 ;312;185;1538
1452596735 ;312;185;1504
1452596793 ;311;185;1387
1452596851 ;313;185;1349
1452596908 ;313;185;1358
1452596966 ;312;186;1372
1452597024 ;311;186;1353
1452597081 ;312;186;1316
1452597139 ;311;186;1314
1452597197 ;312;186;1291
1452597254 ;313;186;1323
1452597312 ;312;186;1335
1452597370 ;312;186;1551
1452597428 ;312;186;1634
1452597485 ;311;186;1831
1452597543 ;313;186;1968
1452597600 ;313;186;2197
1452597658 ;312;186;2281
1452597716 ;313;186;2387
1452597774 ;312;186;2545
1452597831 ;313;186;3307
1452597889 ;312;186;4478
1452597947 ;311;186;-1
1452598004 ;312;186;4908
1452598062 ;313;186;5200
1452598119 ;313;187;5248
1452598177 ;313;186;6124
1452598235 ;312;186;7610
1452598292 ;312;186;7189
1452598350 ;313;186;8907
1452598408 ;312;186;10222
1452598466 ;312;186;9592
1452598523 ;313;186;9065
1452598581 ;312;186;8486
1452598639 ;313;186;9266
1452598697 ;312;186;9936
1452598754 ;311;186;9448
1452598812 ;311;186;7976
1452598870 ;312;186;7626
1452598927 ;312;186;7099
1452598985 ;312;186;6315
1452599043 ;312;186;4844
1452599100 ;312;186;3920
1452599158 ;311;186;2802
1452599216 ;311;186;2223
1452599274 ;312;186;2219
1452599331 ;312;186;2812
1452599389 ;312;186;2882
1452599447 ;312;186;3112
1452599505 ;312;186;3317
1452599563 ;313;186;2859
1452599620 ;311;186;2255
1452599678 ;313;186;1985
1452599736 ;313;186;2095
1452599794 ;313;186;2167
1452599851 ;314;186;2252
1452599909 ;312;186;2285
1452599967 ;312;186;2536
1452600024 ;312;186;2834
1452600082 ;312;186;3285
1452600139 ;312;186;2855
1452600197 ;312;186;2469
1452600255 ;312;186;2742
1452600313 ;313;186;3463
1452600371 ;313;186;3438
1452600428 ;312;187;3049
1452600486 ;313;187;2440
1452600544 ;312;187;2211
1452600602 ;313;187;1836
1452600659 ;311;187;1978
1452600717 ;312;187;1806
1452600775 ;312;187;1724
1452600833 ;312;187;1701
1452600890 ;313;187;1804
1452600948 ;313;187;1695
1452601006 ;311;187;1405
1452601063 ;313;187;1377
1452601121 ;312;187;1509
1452601179 ;312;187;1599
1452601236 ;312;187;1841
1452601294 ;312;187;2163
1452601352 ;312;186;2323
1452601410 ;313;186;2470
1452601467 ;313;186;2647
1452601525 ;314;187;2466
1452601583 ;312;186;2430
1452601641 ;312;186;2581
1452601698 ;312;186;2356
1452601756 ;313;186;2212
1452601814 ;312;186;2163
1452601872 ;313;186;2178
1452601929 ;311;186;1941
1452601987 ;310;186;2062
1452602045 ;312;186;2027
1452602103 ;312;186;1704
1452602160 ;311;186;1630
1452602218 ;312;186;1645
1452602275 ;312;186;1694
1452602333 ;312;186;1698
1452602391 ;311;186;1684
1452602448 ;312;186;1759
1452602506 ;311;186;1904
1452602563 ;313;187;2043
1452602621 ;312;187;2241
1452602678 ;312;187;2345
1452602736 ;313;187;2070
1452602793 ;311;187;1855
1452602851 ;312;187;1766
1452602909 ;312;187;1671
1452602967 ;312;188;1816
1452603024 ;312;188;1994
1452603082 ;312;188;1932
1452603139 ;311;188;2110
1452603197 ;312;188;2480
1452603255 ;312;188;3021
1452603313 ;312;188;3217
1452603370 ;311;188;3233
1452603428 ;313;188;3237
1452603486 ;311;188;2715
1452603543 ;313;188;2099
1452603601 ;313;188;1763
1452603659 ;312;188;1768
1452603717 ;312;188;1872
1452603774 ;312;188;2118
1452603832 ;312;188;2708
1452603889 ;311;188;3171
1452603947 ;312;188;3060
1452604005 ;311;188;3042
1452604063 ;312;188;2643
1452604120 ;313;188;2623
1452604178 ;312;188;2602
1452604236 ;312;188;2502
1452604294 ;311;188;2774
1452604351 ;313;188;2598
1452604409 ;312;188;3030
1452604467 ;313;188;3578
1452604525 ;312;188;3296
1452604582 ;312;188;3662
1452604640 ;312;188;3072
1452604697 ;313;188;2737
1452604755 ;312;188;2402
1452604813 ;312;188;2487
1452604871 ;312;188;2647
1452604928 ;313;188;2775
1452604986 ;313;188;2792
1452605044 ;311;188;2979
1452605101 ;312;188;2955
1452605159 ;314;188;2929
1452605217 ;311;187;2657
1452605274 ;312;187;2464
1452605332 ;312;188;2392
1452605390 ;312;187;2384
1452605448 ;311;188;2259
1452605505 ;311;188;2287
1452605563 ;312;187;2250
1452605621 ;312;188;2225
1452605679 ;312;188;2327
1452605736 ;313;188;2569
1452605794 ;313;188;2703
1452605852 ;312;188;2925
1452605909 ;313;188;3086
1452605967 ;313;188;3247
1452606025 ;313;188;3244
1452606083 ;312;188;3256
1452606140 ;311;188;3221
1452606198 ;313;188;3168
1452606255 ;311;189;3268
1452606313 ;312;188;3269
1452606371 ;312;188;3851
