timestamp;capacitance;temperature;light
;321;170;1652
;318;170;1383
;319;170;1292
;318;170;1454
;321;170;1520
;319;170;1606
;318;170;1605
;319;170;1492
;319;170;1634
;319;170;1764
;320;170;1725
;318;170;1723
;319;170;1703
;319;170;1695
;321;170;1630
;319;170;1544
;318;170;1451
;319;170;1470
;318;170;1548
;319;170;1646
;319;170;1707
;321;170;1644
;319;170;1685
;320;170;1692
;319;170;1524
;320;170;1412
;319;170;1486
;318;170;1532
;318;170;1551
;319;170;1841
;318;170;2057
;320;170;2206
;319;170;2636
;318;170;2615
;319;170;2817
;319;170;2783
;318;170;3062
;319;170;3369
;319;170;3489
;319;170;3563
;318;170;3789
